id,count,bezeichnung_de,mean_sterne
196,2,Grayanotoxine,1.5
201,2,Diphenylguanidin (DPG),3.0
188,2,Thebain,1.0
108,2,Trimethylaminoxid,3.0
192,2,2-tert-Butylhydrochinon,1.0
221,2,kurzkettige Chlorparaffine (SCCP),1.5
97,2,Salmonella Kentucky,1.5
105,2,Giardia duodenalis,1.5
142,2,Isoflavone,1.0
98,2,Organophosphatester,2.0
62,2,Tierarzneimittel,2.0
258,1,"2,3,5-Trimethylpyrazine",1.0
68,1,Cannabinol (CBN),3.0
309,1,Hexahydrocannabinol,1.0
235,1,α-Tomatin,1.0
124,1,Melamin,1.0
240,1,Lithium,2.0
233,1,Glutaminsäure,1.0
237,1,Quaternäre Ammoniumverbindungen,0.0
224,1,Perchlorat,2.0
207,1,Decansäure,1.0
206,1,Caprinsäure,1.0
254,1,Polyethylenterephthalat,1.0
67,1,Cannabigerol (CBG),3.0
259,1,furfural,1.0
218,1,Human circovirus 1 (HCirV-1),3.0
177,1,Alongshan Virus (ALSV),3.0
40,1,Coxiella burnetti,1.0
145,1,Mangelernährung,2.0
176,1,Yersinia enterolitica,1.0
178,1,Fusarium sambucinum,2.0
95,1,Arcobacter spp.,3.0
285,1,MOAH,1.0
204,1,Streptomycin,1.0
260,1,benzaldehyd,1.0
251,1,Trichinella spp.,1.0
239,1,enteroinvasive Escherichia coli (EIEC),2.0
257,1,Helicobacter pullorum,3.0
3,1,Yersinia pseudotuberculosis,1.0
313,1,"2,4-Dichlorphenoxyessigsäure",1.0
319,1,Proteus spp.,2.0
320,1,Citrobacter spp.,2.0
318,1,Diethylhexylphthalat (DEHP),2.0
324,1,Polychlorierte Dibenzodioxine und Dibenzofurane (PCDD/PCDF),
326,1,Isoleucin,
328,1,Cholesterin-Oxidationsprodukte,
25,1,SARS-CoV-2,2.0
227,1,Erythrit,1.0
228,1,Fipronil,2.0
231,1,Campylobacter fetus,2.0
286,1,Salmonella Senftenberg,1.0
305,1,Microbacterium,2.0
112,1,Aeromonas spp.,1.0
325,1,Arsenophonus phytopathogenicus,
6,1,Staphylococcus argenteus,2.0
322,1,Dimethylmonothioarsenate ((DMMTA),1.0
311,1,Ätherische Öle,0.0
263,1,benzol,1.0
316,1,Fructose,1.0
113,1,Alkenylbenzole,2.0
189,1,Heliobacter pylori,3.0
191,1,Solanum sp,2.0
276,1,Phytohämagglutinin,1.0
277,1,Microcystine,1.0
289,1,HT-2,2.0
290,1,Saccharin,2.0
291,1,Milchsäurebakterien,2.0
190,1,Salmonella Bovismorbificans,1.0
292,1,Glycerin,2.0
278,1,Morchella sextelata,2.0
297,1,Gluten,1.0
225,1,Barium,1.0
314,1,Sarcocystis spp.,
43,1,Titandioxid (TiO2),
78,1,Zeckenbedingte Fleischallergie,
140,1,Streptococcus spp.,3.0
262,1,formaldehyd,1.0
216,1,Bis(2-ethylhexyl) phthalate (DEHP),1.0
302,1,Angiostrongylus cantonensis,2.0
335,1,Withania somnifera (ashwagandha),
85,1,Langya henipavirus (LayV),
76,1,colistin,1.0
217,1,"2,6-diisopropylnaphthalene (DIPN)",1.0
264,1,sucralose-6-acetate,1.0
307,1,Natriumphosphat,2.0
96,1,Polystyrol (PS),3.0
303,1,Akkermansia,1.0
310,1,Polyethylenterephthalat (PET),1.0
215,1,Diisobutylphthalate (DIBP),1.0
304,1,Clostridien,1.0
214,1,Dibutylphthalate (DBP),1.0
118,1,Aspergillus,2.0
312,1,Clostridum sporogenes/tepidum,2.0
220,1,Tricyclazol,2.0
219,1,Acesulfam-K,1.0
222,1,GenX,2.0
241,1,Alternariol,1.0
236,1,Flüssigstickstoff,1.0
250,1,extended-spectrum beta-lactamase produzierenden Shigella sonnei,1.0
253,1,Mpox (Affenpocken),1.0
327,1,SmokEz Enviro-23 (SF-006),
323,1,Recycled High-Density Polyethylene (HDPE),
315,1,Ethylcarbamat (Urethan),
58,1,Melatonin,1.0
299,1,Hexachlorcyclohexan,1.0
275,1,Cyazofamid,1.0
252,1,Morcheln,1.0
249,1,Nickel,1.0
255,1,Chronic Wasting Disease (CWD),2.0
114,1,Klebsiella,1.0
183,1,Salmonella Litchfield,2.0
144,1,Salmonella Newport,1.0
301,1,Metalle der Seltenen Erden (REE),2.0
279,1,"Organische Phosphit-Antioxidantien, OPA",1.0
199,1,Benzothiazol (BTZ),3.0
265,1,diastatische Hefe,2.0
294,1,Benzo(a)pyren,1.0
23,1,Anisakis spp.,1.0
46,1,Ciguatera,2.0
18,1,Escherichia albertii,
212,1,Kainsäure,1.0
184,1,Morganella morganii,2.0
162,1,Toxocara spp.,1.0
136,1,Prion,1.0
245,1,Streptococcus equi,3.0
247,1,Calciumcarbid,2.0
100,1,Frühsommer-Meningoenzephalitis (FSME),1.0
271,1,Weichmacher,1.0
272,1,Mangan,1.0
115,1,Antimon,1.0
283,1,Borax,1.0
280,1,Ethylendichlord,1.0
281,1,Ethylendioxid,1.0
282,1,Ketoprofen,1.0
267,1,Cyanobakterien,2.0
266,1,Legionella,2.0
229,1,Streptococcus pyogenes (GAS),1.0
248,1,Persistente organische Schadstoffe (POP),1.0
308,1,Fumonisine,1.0
288,1,T-2,2.0
274,1,Baikiain,3.0
210,1,Jod,1.0
194,1,Bourbon-Virus (BOUV),1.0
213,1,L. welshimeri ,2.0
321,1,Fluconazol,2.0
